record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
35849,No,Yes,Yes,17 years old,Female,0 times,0 times,Always,2,10 or more days,Rarely,Never,Yes,Yes
33341,No,Yes,No,14 years old,Male,1 time,1 time,Rarely,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes
34869,No,No,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes
42124,No,Yes,No,14 years old,Male,0 times,4 or 5 times,Sometimes,2,1 or 2 days,Sometimes,Sometimes,No,Yes
48311,No,No,No,14 years old,Male,0 times,1 time,Never,2,0 days,Most of the time,Most of the time,No,No
28571,No,Yes,Yes,17 years old,Female,0 times,2 or 3 times,Sometimes,3 or more,3 to 5 days,Most of the time,Rarely,No,Yes
47619,No,No,No,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Always,Sometimes,No,No
4613,No,No,No,15 years old,Male,1 time,2 or 3 times,Rarely,3 or more,0 days,Most of the time,Never,No,No
38517,No,No,No,15 years old,Female,0 times,0 times,Most of the time,2,1 or 2 days,Rarely,Never,Yes,Yes
35253,No,No,No,16 years old,Male,0 times,2 or 3 times,Rarely,2,6 to 9 days,Never,Most of the time,No,Yes
46884,Yes,Yes,No,13 years old,Female,2 or 3 times,2 or 3 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No
43305,No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No
39386,Yes,Yes,Yes,17 years old,Female,0 times,1 time,Never,3 or more,1 or 2 days,Rarely,Rarely,No,Yes
47432,Yes,Yes,No,14 years old,Male,0 times,0 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes
13477,No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Rarely,No,No
26704,Yes,No,Yes,17 years old,Male,12 or more times,0 times,Most of the time,3 or more,0 days,Most of the time,Most of the time,Yes,No
43807,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Most of the time,Always,No,Yes
31139,No,No,No,14 years old,Female,1 time,0 times,Never,3 or more,0 days,Never,Sometimes,No,No
15168,No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes
47869,Yes,No,Yes,13 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Always,No,No
31681,No,No,No,17 years old,Male,0 times,0 times,Never,1,0 days,Sometimes,Never,No,No
22602,No,Yes,No,16 years old,Female,0 times,0 times,Sometimes,2,1 or 2 days,Sometimes,Sometimes,No,Yes
27463,No,No,No,13 years old,Male,0 times,1 time,Never,1,0 days,Never,Rarely,No,No
43191,No,Yes,Yes,16 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Most of the time,Rarely,No,No
46508,No,Yes,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No
37072,No,Yes,Yes,17 years old,Female,0 times,1 time,Never,3 or more,0 days,Most of the time,Sometimes,No,No
39792,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No
33054,No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No
24821,No,No,No,17 years old,Female,0 times,0 times,Most of the time,2,3 to 5 days,Sometimes,Never,Yes,Yes
42555,Yes,Yes,Yes,17 years old,Female,0 times,2 or 3 times,Sometimes,2,0 days,Always,Most of the time,No,No
23147,No,No,No,14 years old,Female,1 time,6 or 7 times,Rarely,3 or more,1 or 2 days,Rarely,Never,No,Yes
39508,No,No,No,14 years old,Female,2 or 3 times,0 times,Most of the time,0,0 days,Rarely,Sometimes,Yes,No
26509,No,No,No,15 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No
31789,No,No,No,17 years old,Male,2 or 3 times,0 times,Never,3 or more,3 to 5 days,Most of the time,Rarely,No,Yes
